area,n_same,n_diff,wj_same_mean,wj_same_std,wj_diff_mean,wj_diff_std,delta_wj,t_stat,p_raw,cohens_d,p_fdr
VISp,276,1836,0.653861,0.099754,0.458683,0.105205,0.195178,28.927666,0.000000,1.867538,0.000000
NOT,27,171,0.630017,0.100200,0.441517,0.111226,0.188500,8.287967,0.000000,1.716330,0.000000
DG,213,1425,0.626979,0.115743,0.553203,0.143206,0.073776,7.175973,0.000000,0.527158,0.000000
VISmma,27,183,0.616918,0.072568,0.473654,0.084912,0.143264,8.325518,0.000000,1.716380,0.000000
VISpm,171,1119,0.610966,0.094177,0.455766,0.119329,0.155200,16.249916,0.000000,1.334237,0.000000
ProS,54,354,0.605662,0.140383,0.537511,0.117138,0.068150,3.873563,0.000125,0.565903,0.000151
VISmmp,18,126,0.603924,0.115522,0.426161,0.109088,0.177763,6.420527,0.000000,1.617821,0.000000
VISam,222,1482,0.600925,0.090671,0.445152,0.096133,0.155773,22.678942,0.000000,1.632138,0.000000
LGd,144,960,0.598675,0.109560,0.460663,0.100197,0.138013,15.221343,0.000000,1.360256,0.000000
VISal,204,1356,0.597385,0.090189,0.446345,0.091384,0.151040,22.046588,0.000000,1.655613,0.000000
PO,54,342,0.590523,0.136634,0.533296,0.138758,0.057227,2.822220,0.005011,0.413265,0.005382
SGN,45,285,0.590084,0.067379,0.501690,0.089451,0.088394,6.347305,0.000000,1.018164,0.000000
VPM,54,342,0.588163,0.137478,0.548340,0.114443,0.039823,2.308524,0.021487,0.338043,0.022254
MGm,18,114,0.585281,0.063255,0.549678,0.081483,0.035603,1.769334,0.079183,0.448754,0.079183
MGd,27,171,0.585078,0.055651,0.501049,0.073674,0.084029,5.671454,0.000000,1.174484,0.000000
SUB,99,651,0.573555,0.132494,0.471135,0.159013,0.102421,6.094086,0.000000,0.657402,0.000000
VIS,78,534,0.550665,0.181326,0.418986,0.162723,0.131679,6.576292,0.000000,0.797148,0.000000
LGv,51,363,0.550580,0.128175,0.389624,0.140224,0.160956,7.753573,0.000000,1.159481,0.000000
VISrl,240,1596,0.548857,0.094503,0.438112,0.091898,0.110745,17.341366,0.000000,1.200598,0.000000
CA3,186,1242,0.547915,0.110917,0.466883,0.124713,0.081033,8.378631,0.000000,0.658749,0.000000
MB,18,114,0.547003,0.100037,0.425161,0.104187,0.121841,4.634576,0.000009,1.175461,0.000011
VISl,204,1356,0.542510,0.100027,0.412230,0.090763,0.130280,18.852376,0.000000,1.415740,0.000000
MGv,36,228,0.537386,0.090159,0.468518,0.085723,0.068869,4.448172,0.000013,0.797746,0.000016
CA1,213,1425,0.533575,0.100617,0.458765,0.111557,0.074811,9.241049,0.000000,0.678861,0.000000
LP,168,1116,0.532243,0.088517,0.432322,0.093744,0.099921,12.971979,0.000000,1.073500,0.000000
grey,99,639,0.507303,0.077665,0.441381,0.078655,0.065922,7.772615,0.000000,0.839513,0.000000
APN,144,960,0.504659,0.111555,0.396521,0.114688,0.108138,10.588128,0.000000,0.946209,0.000000
Eth,45,285,0.489964,0.206341,0.398762,0.176822,0.091201,3.140118,0.001842,0.503703,0.002055
TH,36,240,0.435957,0.188890,0.346015,0.152423,0.089942,3.194033,0.001567,0.570870,0.001818
