session,condition,stim_class,n_presentations,mean_speed_cm_s,std_speed_cm_s,median_speed_cm_s,pct_running
ses-715093703,drifting_gratings_presentations_2.0,drifting_gratings,200,8.991,8.063,9.674,59.5
ses-715093703,drifting_gratings_presentations_5.0,drifting_gratings,200,6.042,6.603,1.627,47.0
ses-715093703,drifting_gratings_presentations_7.0,drifting_gratings,228,5.641,6.897,0.147,42.5
ses-715093703,flashes_presentations_1.0,flashes,150,12.311,7.681,14.798,76.7
ses-715093703,gabors_presentations_0.0,gabors,3645,6.038,8.488,0.192,35.6
ses-715093703,natural_movie_one_presentations_4.0,natural_movie_one,8971,6.787,8.391,2.621,44.0
ses-715093703,natural_movie_one_presentations_12.0,natural_movie_one,8967,5.125,8.169,1.002,31.9
ses-715093703,natural_movie_three_presentations_3.0,natural_movie_three,17926,9.758,9.659,9.255,56.7
ses-715093703,natural_movie_three_presentations_6.0,natural_movie_three,17945,6.017,8.196,1.739,38.7
ses-715093703,natural_scenes_presentations_9.0,natural_scenes,1920,3.32,5.792,0.146,24.5
ses-715093703,natural_scenes_presentations_10.0,natural_scenes,1920,4.066,6.581,0.126,28.6
ses-715093703,natural_scenes_presentations_13.0,natural_scenes,2110,12.984,12.685,12.608,60.2
ses-715093703,spontaneous_presentations_spontaneous,spontaneous,15,6.906,6.119,4.011,46.7
ses-715093703,static_gratings_presentations_8.0,static_gratings,1920,7.438,8.013,3.731,48.5
ses-715093703,static_gratings_presentations_11.0,static_gratings,1920,2.07,4.851,0.07,15.9
ses-715093703,static_gratings_presentations_14.0,static_gratings,2160,5.743,7.792,0.29,37.8
ses-719161530,drifting_gratings_presentations_2.0,drifting_gratings,200,37.908,10.862,38.336,99.5
ses-719161530,drifting_gratings_presentations_5.0,drifting_gratings,200,15.437,16.414,10.503,53.0
ses-719161530,drifting_gratings_presentations_7.0,drifting_gratings,228,18.827,15.331,20.563,68.9
ses-719161530,flashes_presentations_1.0,flashes,150,27.657,16.948,30.488,85.3
ses-719161530,gabors_presentations_0.0,gabors,3645,22.267,20.814,20.035,64.8
ses-719161530,natural_movie_one_presentations_4.0,natural_movie_one,8946,19.051,25.541,1.524,43.1
ses-719161530,natural_movie_one_presentations_12.0,natural_movie_one,8938,15.097,23.017,1.487,40.1
ses-719161530,natural_movie_three_presentations_3.0,natural_movie_three,17887,19.628,25.176,3.283,47.5
ses-719161530,natural_movie_three_presentations_6.0,natural_movie_three,17895,19.997,23.8,6.543,51.5
ses-719161530,natural_scenes_presentations_9.0,natural_scenes,1920,22.211,20.703,20.299,64.3
ses-719161530,natural_scenes_presentations_10.0,natural_scenes,1920,7.834,14.534,0.103,27.9
ses-719161530,natural_scenes_presentations_13.0,natural_scenes,2110,4.729,11.507,0.063,18.0
ses-719161530,spontaneous_presentations_spontaneous,spontaneous,15,12.099,9.467,12.082,80.0
ses-719161530,static_gratings_presentations_8.0,static_gratings,1920,15.779,20.789,1.496,45.4
ses-719161530,static_gratings_presentations_11.0,static_gratings,1920,12.972,18.407,0.289,41.1
ses-719161530,static_gratings_presentations_14.0,static_gratings,2160,10.217,14.79,0.217,38.2
ses-721123822,drifting_gratings_presentations_2.0,drifting_gratings,200,17.31,17.75,10.849,54.0
ses-721123822,drifting_gratings_presentations_5.0,drifting_gratings,200,18.277,17.796,15.947,56.5
ses-721123822,drifting_gratings_presentations_7.0,drifting_gratings,228,8.5,13.449,0.042,33.3
ses-721123822,flashes_presentations_1.0,flashes,150,14.896,18.251,0.337,42.0
ses-721123822,gabors_presentations_0.0,gabors,3645,9.591,15.967,0.099,30.2
ses-721123822,natural_movie_one_presentations_4.0,natural_movie_one,8953,14.467,19.127,1.217,39.6
ses-721123822,natural_movie_one_presentations_12.0,natural_movie_one,8952,24.651,21.864,26.603,63.6
ses-721123822,natural_movie_three_presentations_3.0,natural_movie_three,17907,13.08,19.14,0.958,35.7
ses-721123822,natural_movie_three_presentations_6.0,natural_movie_three,17914,16.281,20.461,1.719,43.8
ses-721123822,natural_scenes_presentations_9.0,natural_scenes,1920,11.634,18.949,0.122,31.6
ses-721123822,natural_scenes_presentations_10.0,natural_scenes,1920,14.579,20.814,0.157,35.9
ses-721123822,natural_scenes_presentations_13.0,natural_scenes,2110,13.5,19.863,0.145,35.4
ses-721123822,spontaneous_presentations_spontaneous,spontaneous,15,9.839,12.117,4.26,46.7
ses-721123822,static_gratings_presentations_8.0,static_gratings,1920,16.114,19.976,0.396,44.1
ses-721123822,static_gratings_presentations_11.0,static_gratings,1920,14.35,20.436,0.147,36.3
ses-721123822,static_gratings_presentations_14.0,static_gratings,2160,11.174,17.967,0.094,30.6
ses-739448407,drifting_gratings_presentations_2.0,drifting_gratings,200,0.144,1.11,0.003,1.0
ses-739448407,drifting_gratings_presentations_5.0,drifting_gratings,200,0.005,0.05,0.003,0.0
ses-739448407,drifting_gratings_presentations_7.0,drifting_gratings,230,0.003,0.052,-0.002,0.0
ses-739448407,flashes_presentations_1.0,flashes,150,0.069,0.406,0.023,0.0
ses-739448407,gabors_presentations_0.0,gabors,3645,0.718,3.628,0.016,4.5
ses-739448407,natural_movie_one_presentations_4.0,natural_movie_one,8966,0.38,2.961,0.052,2.4
ses-739448407,natural_movie_one_presentations_12.0,natural_movie_one,8960,0.838,3.915,0.146,6.0
ses-739448407,natural_movie_three_presentations_3.0,natural_movie_three,17928,1.577,5.336,0.235,10.4
ses-739448407,natural_movie_three_presentations_6.0,natural_movie_three,17940,-0.001,1.61,-0.006,0.3
ses-739448407,natural_scenes_presentations_9.0,natural_scenes,1920,4.876,8.451,0.141,30.5
ses-739448407,natural_scenes_presentations_10.0,natural_scenes,1920,0.77,2.978,0.021,6.6
ses-739448407,natural_scenes_presentations_13.0,natural_scenes,2110,5.566,15.573,0.061,18.0
ses-739448407,spontaneous_presentations_spontaneous,spontaneous,15,0.398,0.882,0.004,0.0
ses-739448407,static_gratings_presentations_8.0,static_gratings,1920,0.046,0.478,0.007,0.1
ses-739448407,static_gratings_presentations_11.0,static_gratings,1920,0.498,2.728,0.006,3.6
ses-739448407,static_gratings_presentations_14.0,static_gratings,2160,6.0,16.145,0.075,18.0
ses-732592105,drifting_gratings_presentations_2.0,drifting_gratings,200,14.552,15.615,11.261,57.0
ses-732592105,drifting_gratings_presentations_5.0,drifting_gratings,200,8.393,12.786,0.08,34.5
ses-732592105,drifting_gratings_presentations_7.0,drifting_gratings,228,5.366,11.366,0.017,20.6
ses-732592105,flashes_presentations_1.0,flashes,150,1.938,6.599,0.022,10.7
ses-732592105,gabors_presentations_0.0,gabors,3645,6.247,15.109,0.061,18.1
ses-732592105,natural_movie_one_presentations_4.0,natural_movie_one,8921,11.53,19.541,0.834,31.0
ses-732592105,natural_movie_one_presentations_12.0,natural_movie_one,8960,10.434,20.026,0.658,26.4
ses-732592105,natural_movie_three_presentations_3.0,natural_movie_three,17897,26.092,26.574,22.107,58.2
ses-732592105,natural_movie_three_presentations_6.0,natural_movie_three,17761,17.0,23.519,2.201,44.5
ses-732592105,natural_scenes_presentations_9.0,natural_scenes,1920,23.256,24.384,14.952,54.0
