session,condition_a,condition_b,comparison_type,wj_unsigned,sign_inversion_pct,mean_speed_a,mean_speed_b,delta_speed
ses-715093703,spontaneous_presentations_spontaneous,gabors_presentations_0.0,diff,0.3708118230774524,92.32348103772125,6.906,6.038,0.868
ses-715093703,spontaneous_presentations_spontaneous,static_gratings_presentations_14.0,diff,0.42637158043227136,91.19263222701545,6.906,5.743,1.164
ses-715093703,spontaneous_presentations_spontaneous,natural_scenes_presentations_13.0,diff,0.42800887486680833,91.47385477496947,6.906,12.984,6.077
ses-715093703,spontaneous_presentations_spontaneous,natural_scenes_presentations_9.0,diff,0.45256400205153724,91.11670692885359,6.906,3.32,3.586
ses-715093703,spontaneous_presentations_spontaneous,static_gratings_presentations_11.0,diff,0.4519705666957424,91.280580209036,6.906,2.07,4.837
ses-715093703,spontaneous_presentations_spontaneous,natural_scenes_presentations_10.0,diff,0.40762666856782337,90.60674000307401,6.906,4.066,2.84
ses-715093703,spontaneous_presentations_spontaneous,static_gratings_presentations_8.0,diff,0.4253946100559381,91.08543241233332,6.906,7.438,0.532
ses-715093703,spontaneous_presentations_spontaneous,drifting_gratings_presentations_7.0,diff,0.4296652019637756,91.55647929624391,6.906,5.641,1.265
ses-715093703,spontaneous_presentations_spontaneous,drifting_gratings_presentations_2.0,diff,0.3912271637483622,91.72870190463708,6.906,8.991,2.085
ses-715093703,spontaneous_presentations_spontaneous,drifting_gratings_presentations_5.0,diff,0.3996336169206452,92.12873066004093,6.906,6.042,0.865
ses-715093703,spontaneous_presentations_spontaneous,flashes_presentations_1.0,diff,0.2659176770777438,90.80942878160349,6.906,12.311,5.405
ses-715093703,gabors_presentations_0.0,static_gratings_presentations_14.0,diff,0.3498440067218457,92.40158726845432,6.038,5.743,0.296
ses-715093703,gabors_presentations_0.0,natural_scenes_presentations_13.0,diff,0.3624455469692176,92.89193034780017,6.038,12.984,6.945
ses-715093703,gabors_presentations_0.0,natural_scenes_presentations_9.0,diff,0.3665494064212496,92.17085040937987,6.038,3.32,2.718
ses-715093703,gabors_presentations_0.0,static_gratings_presentations_11.0,diff,0.367491247090169,92.25874084725754,6.038,2.07,3.969
ses-715093703,gabors_presentations_0.0,natural_scenes_presentations_10.0,diff,0.34040712704417764,91.77443168920452,6.038,4.066,1.972
ses-715093703,gabors_presentations_0.0,static_gratings_presentations_8.0,diff,0.33723513882660316,92.06493863778483,6.038,7.438,1.4
ses-715093703,gabors_presentations_0.0,drifting_gratings_presentations_7.0,diff,0.34629650795929434,92.47422735583953,6.038,5.641,0.397
ses-715093703,gabors_presentations_0.0,drifting_gratings_presentations_2.0,diff,0.3667575574547646,92.99368591882956,6.038,8.991,2.953
ses-715093703,gabors_presentations_0.0,drifting_gratings_presentations_5.0,diff,0.3762572512462076,93.1487510942642,6.038,6.042,0.003
ses-715093703,gabors_presentations_0.0,flashes_presentations_1.0,diff,0.3023172008123027,92.2520176067781,6.038,12.311,6.273
